Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00191677588032353,0.000174775635514336,0.0575139361931344,0,0,0,0.0984427785970004,0.000148420378117239,3.97911918191049E-08,-8.27914969072719E-07,0.000140839054736399,-1.36911367834387E-07,0.000141310117768838,0,0,0,0,0,0,package://coordinate4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/base_link.STL,,BODY-1,o_f_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_f_1_2,0.0305572820573811,0.00186805458758646,-4.61996777537284E-06,0,0,0,0.00558145199789848,2.97513301075175E-07,2.37439658923356E-08,2.44785040861203E-11,9.69242653369277E-07,-1.20191465847787E-11,7.94112897407102E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_1_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_1_2.STL,,f_1_2^two_finger-2,o_f_1_2,z_f_1_2,joint_f_1_2,revolute,-0.0327008469900898,-0.000169468662848272,0.118401190998376,1.57079632679489,-0.911548765538365,3.14159264750984,base_link,0,0,-1,0,0,0,0,,,,,,,,
link_f_1_3,0.0183787576712912,-0.00263032646592448,1.44924118507424E-06,0,0,0,0.00791151337363391,4.6367463428106E-07,2.28523201882992E-07,1.49943815806137E-10,1.08682310565097E-06,-3.22539318167443E-11,9.85673470581272E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_1_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_1_3.STL,,f_1_3^two_finger-1,o_f_1_3,z_f_1_3,joint_f_1_3,revolute,0.0566267969313633,0,0,0,0,0,link_f_1_2,0,0,1,0,0,0,0,,,,,,,,
link_f_3_1,0.00518832571446791,0.000406680714066743,0.00716904401231155,0,0,0,0.0033857664225669,1.87946231932708E-07,-2.66209160359618E-09,4.78387961289793E-08,2.21589396599336E-07,2.49049023659792E-09,1.72755257875261E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_3_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_3_1.STL,,f_3_1^two_finger-1,o_f_3_1,z_f_3_1,joint_f_3_1,revolute,0.0229304804089818,-0.025131187879906,0.122110541735432,-3.14159265358978,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_f_3_2,0.0268912864960582,0.00120182731331328,-4.62037826272702E-06,0,0,0,0.00558145376336512,2.96739162405885E-07,6.56766703452091E-09,2.47374045865073E-11,9.70016904142213E-07,-1.13962891063174E-11,7.9411294307384E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_3_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_3_2.STL,,f_3_2^two_finger-1,o_f_3_2,z_f_3_2,joint_f_3_2,revolute,0.00893269178656805,0,0,-1.57079632679489,0.886013477281569,0,link_f_3_1,0,0,1,0,0,0,0,,,,,,,,
link_f_3_3,0.0184399249425371,-0.0021602131872714,1.44917369601302E-06,0,0,0,0.00791151346718725,4.52415134496375E-07,2.12319889143749E-07,1.50721386324119E-10,1.0980826098443E-06,-2.84154770367718E-11,9.85673468845333E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_3_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_3_3.STL,,f_3_3^two_finger-1,o_f_3_3,z_f_3_3,joint_f_3_3,revolute,0.0530000001597184,0,0,0,0,0,link_f_3_2,0,0,-1,0,0,0,0,,,,,,,,
link_f_2_1,0.00518832571446903,-0.000406680714077928,-0.00716904401230714,0,0,0,0.00338576642257115,1.87946231932769E-07,2.66209160359152E-09,-4.78387961289519E-08,2.21589396599501E-07,2.49049023659516E-09,1.72755257875352E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_2_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_2_1.STL,,f_2_1^two_finger-1,o_f_2_1,z_f_2_1,joint_f_2_1,revolute,0.02293,0.024869,0.12211,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
link_f_2_2,0.0268912871878163,0.00120182629913353,-4.61965317296448E-06,0,0,0,0.00558145292076972,2.96739127065093E-07,6.56766407487877E-09,2.47689951288221E-11,9.70016822655757E-07,-1.13981297758439E-11,7.94112894055647E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_2_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_2_2.STL,,f_2_2^two_finger-1,o_f_2_2,z_f_2_2,joint_f_2_2,revolute,0.0089327,0,0,1.5708,-0.88601,0,link_f_2_1,0,0,1,0,0,0,0,,,,,,,,
link_f_2_3,0.01844,-0.0021602,1.4486E-06,0,0,0,0.0079115,4.5242E-07,2.1232E-07,1.5078E-10,1.0981E-06,-2.8423E-11,9.8567E-07,0,0,0,0,0,0,package://coordinate4/meshes/link_f_2_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://coordinate4/meshes/link_f_2_3.STL,,f_2_3^two_finger-1,o_f_2_3,z_f_2_3,joint_f_2_3,revolute,0.053,0,0,0,0,0,link_f_2_2,0,0,1,0,0,0,0,,,,,,,,
